country,code,urban_pop,gdp_per_capita,pop_est,country.name.en,continent,region,un.regionsub.name,geom
Kiribati,KIR,NA,NA,130435,Kiribati,Oceania,East Asia & Pacific,Micronesia,"list(c(-157.4472344, -157.388252, -157.4333509, -157.2091552, -157.1779845, -157.3355844, -157.3136395, -157.4472344, 2.0523774, 1.9068866, 1.7906926, 1.6974892, 1.7706318, 1.8439979, 1.9919217, 2.0523774))"
Kosovo,XKX,NA,NA,1717900,NA,Europe,Europe,Southern Europe,"list(c(20.5942774, 20.7765093, 20.7908406, 21.4756094, 21.586946, 21.7486213, 21.4112976, 21.1372557, 20.6152818, 20.6713979, 20.3529289, 20.1897309, 20.078887, 20.2572673, 20.5238748, 20.5942774, 41.8773203, 41.9184847, 42.0831425, 42.2792323, 42.2628211, 42.7009817, 42.7761354, 43.1134704, 43.2043152, 43.0390863, 42.8334379, 42.7463917, 42.5557889, 42.3187085, 42.2115269, 41.8773203))"
Kuwait,KWT,100,71533.516,4589467,Kuwait,Asia,Middle East & North Africa,Western Asia,"list(list(c(48.1566489, 48.0711983, 48.1812361, 48.3795459, 48.1566489, 29.9837484, 29.8316783, 29.5975276, 29.7483563, 29.9837484)), list(c(46.5530179, 47.4660132, 47.5877399, 47.6062363, 47.7048089, 48.4302877, 48.3795011, 48.1596047, 48.0896051, 47.8616474, 47.7537146, 47.9650121, 48.1879091, 47.9552937, 47.7076752, 47.371292, 47.139438, 46.8664262, 46.5530179, 29.1011707, 28.999923, 28.8363328, 28.6548666, 28.5244463, 28.5343277, 28.7032311, 29.0166321, 29.3099971, 29.319531, 29.4007674, 29.5720791, 
29.5466306, 30.0085017, 30.1036914, 30.1036914, 29.9868271, 29.437165, 29.1011707)))"
Kyrgyzstan,KGZ,41.682945,5304.841,6955746,Kyrgyzstan,Asia,Europe & Central Asia,Central Asia,"list(c(80.1744068, 79.966916, 79.504865, 79.1704972, 78.641895, 77.9675612, 77.7794625, 77.233618, 76.8513297, 76.7088674, 76.3438663, 76.1953131, 75.8247139, 75.7156167, 75.2244551, 74.5782017, 74.3068022, 73.8268818, 73.543838, 73.4997244, 73.3075054, 72.8189862, 72.2486889, 71.8870467, 71.2753677, 71.179706, 71.0021319, 70.9435526, 71.2703069, 70.836829, 70.6779304, 70.4992366, 70.2095646, 70.4873685, 70.7143857, 70.7693374, 70.9642435, 71.4520909, 71.6824222, 71.9079167, 71.8862854, 72.2099495, 
72.4441324, 72.6751803, 72.8639508, 72.9885886, 72.7565106, 72.6586545, 72.4746312, 72.3860009, 72.1725089, 71.734642, 71.2039797, 70.9878006, 70.6595236, 70.4212204, 69.9952664, 69.678141, 69.5280651, 69.2979577, 69.3555517, 69.7003098, 70.3049575, 70.5346171, 70.8290363, 71.0578002, 71.0985549, 71.5459611, 71.5951802, 71.7836372, 71.7942066, 72.0411085, 72.2762319, 72.3424695, 72.598642, 73.1617737, 73.3912989, 73.5998198, 73.8738617, 73.9478919, 73.8323904, 73.9830037, 74.3446011, 74.5904729, 
74.789768, 74.8377779, 75.0900989, 75.2386073, 75.585112, 75.7003, 75.9621155, 76.3397013, 76.6542292, 76.7504282, 77.0829599, 77.2765672, 77.6869358, 77.9211635, 78.1242653, 78.18589, 78.6446717, 78.9408376, 79.4094273, 79.7669492, 79.8545047, 80.2281493, 80.1744068, 42.2108318, 42.4345797, 42.4598792, 42.7529959, 42.8423511, 42.8509415, 42.9147985, 42.9120674, 42.9786804, 42.9041474, 42.8607484, 42.9307876, 42.9403711, 42.7962459, 42.8529773, 43.1311974, 43.2157111, 43.1288139, 43.0279387, 42.7542621, 
42.5103789, 42.561971, 42.768265, 42.8311537, 42.7425682, 42.6095907, 42.5871464, 42.2636653, 42.196953, 41.9244434, 41.9129978, 41.7205329, 41.5738007, 41.3972008, 41.4674882, 41.2634039, 41.163919, 41.1604183, 41.4202658, 41.303029, 41.1674197, 41.0485195, 41.0318849, 40.8511138, 40.8629319, 40.7649118, 40.6668669, 40.5106754, 40.5502757, 40.3974359, 40.4929732, 40.1622672, 40.3474328, 40.2233684, 40.0897949, 40.0586113, 40.217509, 40.1018364, 40.1215745, 39.874414, 39.5681634, 39.5979319, 39.5276196, 
39.6229335, 39.3880627, 39.4099608, 39.5171671, 39.5987512, 39.4467556, 39.4616026, 39.2771819, 39.3668598, 39.2254904, 39.3318526, 39.3650225, 39.350821, 39.4529129, 39.4590453, 39.4829048, 39.599496, 39.7821292, 40.0486305, 40.0935191, 40.2822102, 40.353739, 40.5220465, 40.434901, 40.4608957, 40.6622986, 40.2798019, 40.3746937, 40.3496176, 40.6218045, 40.941338, 41.0623982, 41.0012971, 41.0032833, 41.187704, 41.2272795, 41.3930297, 41.4689778, 41.6447337, 41.8407986, 41.8923907, 42.0218924, 42.063901, 
42.2108318))"
Laos,LAO,42.3198,7168.1904,7558961,Laos,Asia,East Asia & Pacific,South-eastern Asia,"list(c(107.5565618, 107.5891656, 107.4673493, 107.6243669, 107.6094534, 107.5139261, 107.3861981, 107.2147596, 107.3989172, 107.4658713, 107.2677407, 107.0839862, 106.6606745, 106.5521595, 106.5476362, 106.4392555, 106.3046306, 106.0919895, 105.8584336, 105.7512173, 105.633163, 105.4593061, 105.3674512, 105.1040234, 105.1836967, 104.9087591, 104.6770842, 104.4970916, 103.9076261, 104.1090709, 104.0577468, 104.4234644, 104.5604182, 104.8253239, 104.8441785, 104.9722648, 104.6106674, 104.3804256, 104.636419, 
104.0926346, 103.822086, 103.6834752, 103.5993682, 103.3815768, 103.1267926, 102.9686105, 102.8841005, 102.8910422, 102.9922124, 102.9730891, 102.6761618, 102.6126561, 102.1439321, 102.0218471, 101.6705503, 101.549988, 101.6170766, 101.7749003, 101.7259051, 101.7617782, 101.5399113, 101.2859333, 101.1855244, 101.1441427, 100.9961269, 100.7345802, 100.6386498, 100.5472876, 100.5170575, 100.3662202, 100.2240713, 100.0846544, 100.27235, 100.5699938, 100.5008451, 100.4039743, 100.4855285, 100.7789625, 
100.9126917, 101.1227801, 101.2661829, 101.3553507, 101.2457608, 101.1832851, 101.0524222, 101.1822999, 101.1839569, 101.0284172, 100.9676882, 101.1159727, 101.3054149, 101.7105885, 101.7862311, 101.9069277, 102.0882638, 102.2998749, 102.5967125, 102.6883435, 103.0792753, 103.0833507, 103.246504, 103.4034768, 103.793916, 103.9730576, 104.2711493, 104.4568295, 104.707807, 104.7960342, 104.801498, 104.7295279, 104.7624451, 104.7350813, 105.0149005, 105.0410999, 105.4078924, 105.342237, 105.4334649, 
105.6346857, 105.480803, 105.5731058, 105.518378, 105.5235283, 105.4302851, 105.2064924, 105.3626591, 105.5567591, 105.7726247, 105.9121761, 106.1047981, 106.187472, 105.9962831, 106.1877407, 106.264682, 106.4135487, 106.5609822, 106.7438858, 106.8392787, 107.1634803, 107.3286936, 107.5565618, 14.6861148, 14.8636831, 14.9869778, 15.1375831, 15.3371488, 15.4729567, 15.4927444, 15.8240959, 15.8939364, 16.0258216, 16.1228237, 16.3125079, 16.473367, 16.6942101, 16.9257043, 16.9950979, 17.2072761, 17.3607862, 
17.6236875, 17.6682037, 17.9917841, 18.2049057, 18.1611344, 18.4475476, 18.6575657, 18.7862481, 18.8372692, 19.0036897, 19.3294798, 19.5166316, 19.6516202, 19.6986936, 19.6099344, 19.7861371, 19.9254954, 20.0617005, 20.2747229, 20.4474497, 20.6717686, 20.964935, 20.8711853, 20.661341, 20.7460285, 20.786175, 20.9089484, 21.070031, 21.2997127, 21.4698078, 21.5861508, 21.7364829, 21.6570341, 21.9199602, 22.4007252, 22.4569353, 22.3742837, 22.2341805, 21.97982, 21.830034, 21.3550538, 21.1452095, 21.2512489, 
21.1761449, 21.3283888, 21.5639051, 21.3881989, 21.3155777, 21.0626075, 21.0251424, 20.8153725, 20.8280098, 20.7133552, 20.3522848, 20.4006245, 20.0987932, 19.8707005, 19.7525451, 19.5432718, 19.4925983, 19.6268669, 19.5721217, 19.117252, 19.0511108, 18.8886378, 18.560514, 18.4263695, 18.3399192, 18.0651005, 17.8287898, 17.5714251, 17.479165, 17.6498312, 17.9021558, 18.071233, 18.0308879, 18.2202741, 18.0528853, 17.959359, 17.8700039, 18.0364493, 18.1288086, 18.3705318, 18.4484414, 18.342824, 18.3368902, 
17.8697804, 17.6669872, 17.5208012, 17.4017769, 17.1647461, 17.0082815, 16.6895425, 16.5454669, 16.2438343, 16.1084236, 16.0161387, 15.9222401, 15.7553726, 15.6626161, 15.0984297, 15.0008565, 14.8219972, 14.5495869, 14.4246287, 14.3433426, 14.1045739, 14.1603867, 14.0891558, 13.9282718, 13.9097255, 14.0615473, 14.3283714, 14.3512378, 14.4769408, 14.4526096, 14.5379178, 14.4270122, 14.2932898, 14.4147721, 14.5914962, 14.6861148))"
Latvia,LVA,71.68461,27220.303,1881016,Latvia,Europe,Europe & Central Asia,Northern Europe,"list(c(28.1512324, 28.2388774, 27.8716819, 27.6589512, 27.8670242, 27.3514546, 27.0314629, 26.6759115, 26.2776797, 26.2057544, 25.4650485, 25.1058248, 24.8323203, 24.3517282, 24.4087848, 23.9599006, 23.6432678, 23.2369298, 23.1341026, 22.5925127, 22.5466524, 22.0232454, 21.7266316, 21.4108497, 21.4074908, 21.0641211, 20.9866424, 20.9841792, 21.0641659, 21.2409339, 21.6895493, 21.7264077, 22.1253561, 22.8403551, 23.0022543, 24.0189278, 24.1216207, 24.4541524, 24.8612965, 25.0920309, 25.6509528, 26.203739, 
26.2686331, 26.6303648, 26.8705937, 27.1533687, 27.5882798, 27.6528156, 28.1512324, 56.1707448, 56.2705277, 56.8692246, 56.834292, 57.2962872, 57.5180737, 57.604524, 57.5666617, 57.5955612, 57.7149828, 58.0074788, 58.0778159, 57.9719254, 57.8765371, 57.2659973, 56.9952752, 56.9611122, 57.1083409, 57.3599456, 57.6282842, 57.7529196, 57.6087199, 57.5795721, 57.2774677, 57.0483322, 56.8433044, 56.5195751, 56.2149631, 56.0690999, 56.1630234, 56.3131321, 56.3185446, 56.4323551, 56.3656925, 56.4064349, 
56.3297419, 56.2488778, 56.2581634, 56.4156708, 56.1860387, 56.1349184, 55.8588832, 55.7677156, 55.6806694, 55.71374, 55.8521052, 55.7837047, 55.929543, 56.1707448))"
Lebanon,LBN,89.35787,10341.159,5744441,Lebanon,Asia,Middle East & North Africa,Western Asia,"list(c(35.6252895, 36.0470336, 35.9356075, 36.0627085, 36.2504937, 36.5927438, 36.5509142, 36.4083623, 35.9756905, 35.904213, 35.6729859, 35.5778169, 35.2869805, 35.2036797, 35.1036739, 35.5036075, 35.6252895, 33.2417732, 33.5641122, 33.6445542, 33.8114465, 33.8530827, 34.186619, 34.4176911, 34.6095105, 34.6339659, 34.4686377, 34.3057179, 33.9123714, 33.4615487, 33.2024212, 33.0940479, 33.0894796, 33.2417732))"
Lesotho,LSO,35.33711,2312.9583,2286067,Lesotho,Africa,Sub-Saharan Africa,Sub-Saharan Africa,"list(c(28.6513958, 28.3441231, 28.1702214, 28.0073368, 27.766257, 27.6137627, 27.3000409, 27.0141309, 27.0964465, 27.365562, 27.7420729, 28.0856217, 28.1795367, 28.4008214, 28.8555724, 29.1694733, 29.1619942, 29.4464711, 29.354437, 28.9045229, 28.7038843, 28.6513958, -28.5705728, -28.694811, -28.7056607, -28.8722054, -28.9161258, -29.1644283, -29.5134324, -29.6619769, -29.7297568, -30.2598794, -30.60362, -30.6551624, -30.439136, -30.1436358, -30.0900078, -29.9160147, -29.6771715, -29.3775748, -29.124406, 
-28.7587425, -28.6706287, -28.5705728))"
Liberia,LBR,55.602497,811.2146,5373250,Liberia,Africa,Sub-Saharan Africa,Sub-Saharan Africa,"list(c(-8.4709131, -8.6736566, -8.7066186, -8.9748384, -9.1056566, -9.2862314, -9.4676123, -9.3601273, -9.4315152, -9.4408754, -9.5158461, -9.4787638, -9.7695555, -9.9898996, -10.0847551, -10.2792134, -10.2958735, -10.6060125, -10.6066395, -10.8268493, -11.1003986, -11.3135323, -11.4672806, -11.4988991, -11.4993022, -11.3543318, -10.8647378, -10.8182505, -10.2398918, -10.0062911, -9.5278486, -9.2932179, -8.7158892, -8.2546443, -7.9583889, -7.7835467, -7.5304196, -7.5926265, -7.3759995, -7.4319812, 
-7.6886464, -7.7960418, -7.8364382, -8.0053688, -8.1738963, -8.3748932, -8.5740538, -8.3202997, -8.2816947, -8.3651747, -8.4709131, 7.5572661, 7.6981389, 7.5158534, 7.2524804, 7.2388003, 7.377091, 7.4303962, 7.6250956, 7.8585015, 8.0835653, 8.1937758, 8.3541632, 8.5519909, 8.4448839, 8.5183741, 8.4846828, 8.227343, 8.039496, 7.7748568, 7.562902, 7.3906966, 7.193291, 6.9263924, 6.9247786, 6.9240089, 6.7660794, 6.4622619, 6.3129477, 6.0522312, 5.8095894, 5.4045739, 5.1490961, 4.807888, 4.5751276, 4.5131823, 
4.3917993, 4.3619811, 4.9092101, 5.6138969, 5.8391841, 5.8975294, 5.987679, 6.2071814, 6.3215878, 6.2770716, 6.3648378, 6.52237, 6.8161074, 7.1825157, 7.2406872, 7.5572661))"
Libya,LBY,82.30181,12755.204,7223757,Libya,Africa,Middle East & North Africa,Northern Africa,"list(c(11.9984803, 13.5260209, 13.6987582, 14.1896062, 14.9986098, 16.0000114, 16.8642802, 18.1123151, 19.0413883, 20.041312, 21.2627444, 22.0463099, 23.2015494, 23.9999836, 23.9999836, 24.9999969, 24.9999969, 24.9999969, 24.9999969, 24.9999969, 24.8651928, 24.9123966, 24.6967549, 24.9218911, 25.0160749, 24.86891, 24.8595499, 25.1492666, 25.0347951, 24.7594097, 24.4842034, 24.0895096, 23.9672454, 23.6653022, 23.2546649, 23.0840325, 23.1585106, 23.1079031, 22.8991135, 22.1764115, 21.9241353, 21.7157936, 
21.3502999, 21.1022335, 20.5757811, 20.1981953, 19.9485167, 19.9211528, 19.9924512, 20.1502749, 20.1659498, 20.0615551, 19.7857217, 19.6131636, 19.2172606, 18.9349334, 18.6868223, 18.1713422, 17.392748, 16.7001865, 16.2239833, 15.9748868, 15.6659571, 15.5268536, 15.3811219, 15.3597593, 15.2030999, 14.774638, 14.5049403, 14.1767976, 13.792718, 13.6073064, 13.2390808, 12.8275477, 12.5589248, 12.2069116, 11.8558388, 11.5625839, 11.4831794, 11.5992184, 11.5485661, 11.1706221, 10.6573365, 10.527011, 10.3121306, 
10.1391246, 10.292649, 10.2720029, 9.943905, 9.5564217, 9.3914771, 9.7831254, 9.9043147, 9.8348078, 9.9659395, 9.7817819, 9.8613655, 9.9304246, 9.8634704, 9.5044259, 9.3998519, 10.0283703, 10.0410894, 10.2232316, 10.3557964, 10.6124616, 10.9515767, 11.4215547, 11.6418989, 11.8145018, 11.9984803, 23.5149958, 23.1561599, 23.0608461, 22.6445092, 22.9993974, 23.4523553, 23.0544406, 22.4672637, 22.0205375, 21.5306607, 20.9195498, 20.5202199, 19.9211753, 19.499997, 20.0000035, 20.0000035, 22.0000049, 26.8540584, 
27.8783531, 29.2531167, 29.5245339, 29.608849, 30.1558794, 30.4706211, 30.7771945, 31.1551973, 31.4036241, 31.6573143, 31.9354847, 32.0176398, 31.993532, 32.0116811, 32.1070197, 32.1812796, 32.202855, 32.3408229, 32.4576624, 32.6338651, 32.6765937, 32.9250453, 32.8942588, 32.940513, 32.7738938, 32.7706165, 32.5456769, 32.2720748, 31.9752091, 31.7599026, 31.4772881, 31.2369304, 31.0759223, 30.8572889, 30.5390464, 30.4145103, 30.2711051, 30.2909425, 30.4042813, 30.789658, 31.0760464, 31.2185826, 31.2344228, 
31.2926936, 31.4454837, 31.6052008, 31.8928305, 32.1366889, 32.380746, 32.4370057, 32.5059028, 32.7111292, 32.8010802, 32.791025, 32.9108438, 32.7999381, 32.7958664, 32.8719883, 33.0679043, 33.1664706, 32.6562101, 32.5181925, 32.4084289, 32.2685989, 31.9784367, 31.7409094, 31.7032456, 31.4899999, 31.0919858, 30.8007312, 30.3834011, 30.2280289, 30.168194, 29.4270601, 28.7581998, 28.2862734, 27.8828718, 27.2704947, 26.933408, 26.8579315, 26.5162765, 26.3780851, 26.1954272, 25.354138, 24.9555281, 24.6456527, 
24.5333318, 24.5718149, 24.5290614, 24.2006148, 23.8930235, 23.6142821, 23.5149958))"
Liechtenstein,LIE,15.714465,NA,39287,Liechtenstein,Europe,Europe & Central Asia,Western Europe,"list(c(9.5308492, 9.5145474, 9.6070292, 9.5308492, 47.2705337, 47.0867089, 47.0607638, 47.2705337))"
Lithuania,LTU,71.35194,30863.32,2816872,Lithuania,Europe,Europe & Central Asia,Northern Europe,"list(c(26.6303648, 26.2686331, 26.203739, 25.6509528, 25.0920309, 24.8612965, 24.4541524, 24.1216207, 24.0189278, 23.0022543, 22.8403551, 22.1253561, 21.7264077, 21.6895493, 21.2409339, 21.0641659, 21.0859316, 21.2458155, 21.2815991, 21.6483915, 22.0817351, 22.291286, 22.6028581, 22.6421797, 22.6575858, 22.6677521, 22.7100743, 22.7295112, 22.7456787, 22.7591144, 22.8392802, 22.8469833, 22.8722871, 22.8489091, 22.8124538, 22.8154992, 22.8101249, 22.8011679, 22.7935543, 22.7931961, 22.7365425, 22.7370799, 
22.7378413, 22.7508738, 22.7560242, 22.7549493, 22.7379309, 22.7264658, 22.7223008, 22.6977584, 22.6864276, 22.6945338, 22.6991019, 22.7919421, 23.3375179, 23.4858471, 23.5149576, 23.6106641, 23.7571571, 23.7664277, 23.766562, 24.2016075, 24.3520864, 24.595719, 24.7983282, 25.0944493, 25.2148773, 25.5135959, 25.6217079, 25.7626476, 25.7338953, 25.9556727, 26.186004, 26.357756, 26.6179144, 26.5242234, 26.6303648, 55.6806694, 55.7677156, 55.8588832, 56.1349184, 56.1860387, 56.4156708, 56.2581634, 56.2488778, 
56.3297419, 56.4064349, 56.3656925, 56.4323551, 56.3185446, 56.3131321, 56.1630234, 56.0690999, 55.7316656, 55.4933438, 55.2486909, 55.1809856, 55.0243968, 55.0648661, 55.0150864, 54.9737978, 54.9678391, 54.969726, 54.9718364, 54.9598694, 54.9379713, 54.9174636, 54.8988676, 54.8612535, 54.8232422, 54.7747784, 54.7628114, 54.7554872, 54.7520858, 54.7503478, 54.7528058, 54.7531782, 54.6645927, 54.6644437, 54.6615141, 54.6562257, 54.6541899, 54.6472133, 54.6258614, 54.6227331, 54.6120075, 54.594628, 
54.5909039, 54.5503601, 54.5076067, 54.3632332, 54.2517316, 54.153215, 53.9562563, 53.9250974, 53.9251719, 53.9215222, 53.9176987, 53.9700109, 53.8967938, 53.9922069, 54.1170906, 54.150335, 54.2559275, 54.3079169, 54.4518683, 54.576901, 54.8023868, 54.9508321, 54.9915993, 55.1505467, 55.1466736, 55.5099288, 55.6806694))"
Luxembourg,LUX,87.70159,55484.777,653267,Luxembourg,Europe,Europe & Central Asia,Western Europe,"list(c(5.8186318, 5.9833525, 6.3671187, 6.5076553, 6.2332103, 6.137683, 5.8953044, 5.74075, 5.9067247, 5.8186318, 49.5463965, 49.4517282, 49.4694801, 49.7132143, 49.9033951, 50.1299486, 50.1119732, 49.8382222, 49.6657933, 49.5463965))"
Macao,MAC,NA,NA,704309,NA,NA,NA,NA,list()
Madagascar,MDG,37.44996,1367.0938,30437216,Madagascar,Africa,Sub-Saharan Africa,Sub-Saharan Africa,"list(c(49.2487858, 49.143137, 48.7617445, 48.8604515, 48.9475144, 48.8309827, 48.761431, 48.5269346, 48.3229819, 48.3095911, 48.1706667, 48.0762591, 47.8941169, 47.8585572, 47.9496955, 48.0454467, 47.9337967, 47.8045013, 47.6927169, 47.7539385, 47.4705813, 47.3155342, 47.1046397, 47.0445377, 46.8721587, 46.3238958, 46.3341964, 46.1205252, 46.0088752, 45.6819418, 45.6331257, 45.4115723, 45.2485086, 44.8379608, 44.475826, 44.4067221, 44.4717058, 44.3459931, 43.9279214, 44.0367051, 44.0104609, 44.0571273, 
44.2309394, 44.2734408, 44.4303688, 44.4714371, 44.3903307, 44.4819168, 44.2491671, 44.116871, 44.0492898, 43.9366097, 43.7808013, 43.5764903, 43.4709759, 43.4712446, 43.258917, 43.2279255, 43.3712388, 43.5922995, 43.6174689, 43.7661117, 43.635831, 43.6834826, 43.9348631, 44.0241652, 44.3327814, 44.3499342, 44.807865, 45.1659691, 45.6037912, 45.8613521, 46.3348234, 46.6389611, 47.106252, 47.4173314, 47.5921289, 47.6483345, 47.7309636, 47.8560045, 47.8934003, 48.2952597, 48.600114, 48.8223839, 48.8746037, 
49.0318005, 49.3375057, 49.5201853, 49.4107298, 49.5961862, 49.7608173, 49.8541053, 49.8579121, 49.7056417, 49.7309007, 49.6178175, 49.7308111, 49.891322, 50.0439954, 50.2299444, 50.4278064, 50.471293, 50.3349662, 50.184129, 50.2016401, 50.1431503, 50.1396123, 49.9186411, 49.9308227, 49.7822695, 49.5426228, 49.5379651, 49.4139096, 49.2487858, -11.9526974, -12.2697978, -12.4652668, -12.5452868, -12.8302103, -13.0717597, -13.4058423, -13.5272004, -13.5633248, -13.7894066, -13.7586698, -13.5678683, 
-13.5923982, -13.763536, -14.0249477, -14.1198394, -14.2452445, -14.2180581, -14.4522337, -14.618108, -15.0907792, -14.9209572, -15.1080594, -15.2331417, -15.2298396, -15.667305, -16.0015117, -15.7114736, -15.8046026, -15.7804948, -15.9065206, -15.9869626, -15.9373815, -16.2493177, -16.1798248, -16.3449046, -16.5253032, -16.797217, -17.5146652, -17.8069378, -18.0202581, -18.4354033, -18.7457753, -19.1661095, -19.3758297, -19.531922, -19.7856122, -19.9905158, -20.3605986, -20.4876175, -20.6988026, 
-20.793446, -21.2497309, -21.2778111, -21.3793319, -21.5852783, -21.9564783, -22.3255929, -22.8456851, -23.0660564, -23.2785325, -23.4830141, -23.6698928, -24.3748029, -24.6359167, -24.9934118, -25.1873664, -25.2633145, -25.3403303, -25.6050937, -25.5429746, -25.3740464, -25.1850822, -25.1984644, -24.9652571, -24.1335763, -23.7869061, -23.475243, -23.266069, -22.7510913, -22.483001, -21.4527476, -20.4082679, -19.9128049, -19.585401, -19.1340072, -18.4047906, -17.6924321, -17.3708379, -16.9063848, 
-16.8172779, -16.4403426, -16.2216596, -16.1225471, -15.9057013, -15.5504407, -15.4447985, -15.5612904, -15.8973343, -15.9765846, -15.5499193, -15.2096546, -15.032136, -14.5862292, -14.3006601, -14.2109574, -13.7960604, -13.1869358, -13.0466837, -12.8580671, -12.65654, -12.3927449, -12.3396383, -11.9526974))"
Malawi,MWI,24.869358,1190.0509,20568683,Malawi,Africa,Sub-Saharan Africa,Sub-Saharan Africa,"list(c(34.9591066, 34.9603606, 34.9599127, 34.9599127, 34.9323249, 34.9330415, 34.9336237, 34.9284734, 34.8841806, 34.8815382, 34.7928631, 34.7859662, 34.7861453, 34.7869067, 34.7710527, 34.7720379, 34.7693508, 34.7639318, 34.7631704, 34.7636631, 34.7608864, 34.7591845, 34.7086218, 34.7053973, 34.704412, 34.6587309, 34.6446235, 34.6364277, 34.6372339, 34.6373682, 34.6369204, 34.6350842, 34.6370995, 34.6381744, 34.6376369, 34.6375026, 34.6380848, 34.634278, 34.6291725, 34.6209768, 34.6167669, 34.6122436, 
34.6124227, 34.6130497, 34.6130497, 34.6136767, 34.6136767, 34.6141694, 34.6141246, 34.6141246, 34.6141246, 34.6154682, 34.6163639, 34.6173939, 34.6187375, 34.6185136, 34.6185136, 34.6186927, 34.6194541, 34.6197676, 34.6201706, 34.620305, 34.6248731, 34.6249179, 34.6255001, 34.6271571, 34.6272019, 34.6291277, 34.6353977, 34.6406823, 34.6461462, 34.6811236, 34.6350842, 34.6174835, 34.6167221, 34.6165878, 34.6166326, 34.6237535, 34.6245148, 34.5361084, 34.3270501, 34.0942108, 33.9705583, 33.9180698, 
33.758589, 33.4437924, 33.3257381, 33.1444467, 33.0422017, 32.9596622, 32.9988942, 33.2194623, 33.2309274, 33.380645, 33.3213043, 33.5433056, 33.5631903, 33.6951281, 33.4487636, 33.3358148, 33.2985533, 33.3808689, 33.2377347, 33.3110037, 33.3325902, 33.2573507, 33.3697173, 33.4747839, 33.3664928, 33.0457397, 32.9474357, 33.0212869, 32.9242817, 32.795031, 33.0041341, 33.2163273, 33.4495249, 33.679274, 33.9152931, 34.3919442, 34.5509772, 34.6218277, 34.5759674, 34.4253541, 34.4550021, 34.2992832, 34.2589763, 
34.4296087, 34.419532, 34.5692944, 34.9187997, 35.1676274, 35.0974039, 35.2956689, 35.3145235, 35.1434433, 35.2619007, 35.3135831, 35.5366144, 35.8081483, 35.8531128, 35.790055, 35.8721018, 35.8721018, 35.520626, 35.4867682, 35.0895665, 34.8668934, 34.6071829, 34.5303759, 34.3782399, 34.5907466, 34.6368756, 34.9591066, -11.5735276, -11.5324873, -11.5258087, -11.5257838, -11.4553971, -11.4544288, -11.4538329, -11.404227, -11.3698902, -11.3700144, -11.3223202, -11.2931724, -11.2924028, -11.2923531, 
-11.2462231, -11.2386258, -11.2324685, -11.2298368, -11.2269319, -11.226634, -11.2198808, -11.2181925, -11.1832102, -11.1799081, -11.1708956, -11.1351933, -11.1223077, -11.114909, -11.1148097, -11.1145366, -11.1036123, -11.1021972, -11.0997144, -11.0993171, -11.097182, -11.0864067, -11.0831791, -11.0759294, -11.0491154, -11.0481719, -11.0481223, -11.0318104, -11.0312394, -11.0278876, -11.0278628, -11.0262987, -11.0262738, -11.0239152, -11.0207372, -11.0204145, -11.0203896, -11.0168889, -11.0155731, 
-11.0126682, -11.0108558, -11.0099868, -11.009962, -11.0096889, -11.0095399, -11.0093909, -11.0091923, -11.0091675, -11.0002543, -11.0002543, -10.9989384, -10.9977467, -10.9976474, -10.9968281, -10.9911922, -10.9761466, -10.9689217, -10.751331, -10.6390598, -10.6198183, -10.6172114, -10.6170376, -10.6161935, -10.606461, -10.5989382, -10.0929481, -9.7578973, -9.5458433, -9.5270238, -9.7137783, -9.5846491, -9.6143679, -9.4860083, -9.4933822, -9.4177816, -9.4006753, -9.5737993, -9.6212949, -9.7489345, 
-9.9159261, -10.0630058, -10.2347147, -10.4072677, -10.5933519, -10.822264, -10.8224626, -10.9876915, -11.2353734, -11.4123706, -11.5934892, -11.8201668, -12.1403209, -12.3463666, -12.4165547, -12.5609779, -12.6234943, -12.7676195, -12.893248, -13.3925346, -13.6525559, -13.9626548, -14.0070717, -14.365262, -14.6159729, -14.477558, -14.3948815, -14.6488448, -15.0000585, -15.3243093, -15.4753366, -15.6112439, -15.7609554, -15.9058999, -16.0443892, -16.2501618, -16.313423, -16.7461215, -16.92148, -17.129512, 
-17.1278237, -16.8315787, -16.5623463, -16.4750022, -16.2074332, -16.1625943, -16.0391009, -15.4191266, -15.169955, -14.8953598, -14.6756092, -14.2592226, -14.1706619, -13.6993066, -13.4831063, -13.4831063, -12.8800645, -12.1716536, -11.8560181, -11.5735773, -11.5735276))"
